contig_id,start_position,coverage
contig_1,1,0.00
contig_2,1,0.00
contig_3,1,0.00
contig_4,1,0.00
contig_5,1,0.00
contig_6,1,0.00
contig_7,1,0.00
contig_8,1,0.00
contig_9,1,0.00
contig_10,1,0.00
contig_11,1,0.00
contig_12,1,0.00
contig_13,1,0.00
contig_14,1,0.00
contig_15,1,0.00
contig_16,1,0.00
contig_17,1,0.00
contig_18,1,0.00
contig_19,1,0.00
contig_20,1,0.00
contig_21,1,0.00
contig_22,1,0.00
contig_23,1,0.00
contig_24,1,0.00
contig_25,1,0.00
contig_26,1,0.00
contig_27,1,0.00
contig_28,1,0.00
contig_29,1,0.00
contig_30,1,0.00
contig_31,1,0.00
contig_32,1,0.00
contig_33,1,0.00
contig_34,1,0.00
contig_35,1,0.00
contig_36,1,0.00
contig_37,1,0.00
contig_38,1,0.00
contig_39,1,0.00
contig_40,1,0.00
contig_41,1,0.00
contig_42,1,0.00
contig_43,1,0.00
contig_44,1,0.00
contig_45,1,0.00
contig_46,1,0.00
contig_47,1,0.00
contig_48,1,0.00
contig_49,1,0.00
contig_50,1,0.00
contig_51,1,0.00
contig_52,1,0.00
contig_53,1,0.00
contig_54,1,0.00
contig_55,1,0.00
contig_56,1,0.00
contig_57,1,0.00
contig_58,1,0.00
contig_59,1,0.00
contig_60,1,0.00
contig_61,1,0.00
contig_62,1,0.00
contig_63,1,0.00
contig_64,1,0.00
contig_65,1,0.00
contig_66,1,0.00
contig_67,1,0.00
contig_68,1,0.00
contig_69,1,0.00
contig_70,1,0.00
contig_71,1,0.00
contig_72,1,0.00
contig_73,1,0.00
contig_74,1,0.00
contig_75,1,0.00
contig_76,1,0.00
contig_77,1,0.00
contig_78,1,0.00
contig_79,1,0.00
contig_80,1,0.00
contig_81,1,0.00
contig_82,1,0.00
contig_83,1,0.00
contig_84,1,0.00
contig_85,1,0.00
contig_86,1,0.00
contig_87,1,0.00
contig_88,1,0.00
contig_89,1,0.00
contig_90,1,0.00
contig_91,1,0.00
contig_92,1,0.00
contig_93,1,0.00
contig_94,1,0.00
contig_95,1,0.00
contig_96,1,0.00
contig_97,1,0.00
contig_98,1,0.00
contig_99,1,0.00
